Title,Authors,Categories,"Content Types","Publication Types",Tags,Date,Permalink,"Word Count",Status
"Testimony by Brittany Madni on the VA Budget","                                                              Brittany Madni                                                                                          [user]                                                                           ","The Federal Budget: Spending, Taxes, and Debt",Publication,Testimony,"Appropriations, Congressional Budget Office (CBO), Debt, Deficit, Discretionary Spending, Federal Budget, Mandatory Spending, Program Integrity, Spending, Veterans, Veterans Affairs, Waste Fraud & Abuse","2026-05-20 11:05:36",https://epicforamerica.org/federal-budget/testimony-by-brittany-madni-on-the-va-budget/,1813,publish
"Testimony by Brittany Madni on the Fiscal Challenges at the VA","                                                              Brittany Madni                                                                                          [user]                                                                           ","The Federal Budget: Spending, Taxes, and Debt",Publication,Testimony,"Debt, Discretionary Spending, Federal Budget, Mandatory Spending, Program Integrity, Testimony, Veterans, Veterans Affairs, Waste Fraud & Abuse","2026-03-26 13:21:30",https://epicforamerica.org/federal-budget/testimony-by-brittany-madni-on-the-fiscal-challenges-at-the-va/,2138,publish
"Honoring the Founders’ Fiscal Vision","                                                              Brittany Madni                                                                                          [user]                                                                           ","The Federal Budget: Spending, Taxes, and Debt",Blog,Op-Ed,"Congress, Debt, Federal Budget, Spending","2026-03-17 15:40:35",https://epicforamerica.org/federal-budget/honoring-the-founders-fiscal-vision/,1000,publish
"A Discharge Petition Plot","                                                              Brittany Madni                                                                                          [user]                                                                           ","The Federal Budget: Spending, Taxes, and Debt",Blog,"Policy Rapid Response","Biden COVID Credits, Congress, Floor Procedure, Healthcare, Obamacare","2026-01-06 14:20:15",https://epicforamerica.org/federal-budget/a-discharge-petition-plot/,930,publish
"Crafting a Successful Balanced Budget Amendment","                                                              Brittany Madni                                                                                          [user]                                                                           ","The Federal Budget: Spending, Taxes, and Debt",Blog,Op-Ed,"Debt, Federal Budget, Fiscal Crisis, Fiscal Space, Spending","2025-12-10 16:18:58",https://epicforamerica.org/federal-budget/crafting-a-successful-balanced-budget-amendment/,734,publish
"Interest Payments on the Debt Outpace Most Countries’ GDPs","                                                              Brittany Madni                                                                                          [user]                                                                           ","The Economy, The Federal Budget: Spending, Taxes, and Debt",Blog,"Policy Rapid Response","Debt, Deficit, Economy, FY 2025, Interest, Mandatory Spending, Spending","2025-12-03 17:17:24",https://epicforamerica.org/federal-budget/interest-payments-on-the-debt-outpace-most-countries-gdps/,346,publish
"Testimony by Brittany Madni on Balancing the Federal Budget","                                                              Brittany Madni                                                                                          [user]                                                                           ","The Federal Budget: Spending, Taxes, and Debt",Publication,Report,"Constitution, Debt, Federal Budget, Fiscal Crisis, Fiscal Limit, Fiscal Space, Limited Government, Spending","2025-12-03 10:00:27",https://epicforamerica.org/federal-budget/balancing-the-federal-budget/,2362,publish
"A Christmas Omnibus Is Not the Answer","                                                              Brittany Madni                                                                                          [user]                                                                           ","The Economy, The Federal Budget: Spending, Taxes, and Debt",Blog,"Op-Ed, Policy Rapid Response","Appropriations, Discretionary Spending, Earmarks, Federal Budget, FY 2026, Government Shutdown","2025-11-05 16:17:59",https://epicforamerica.org/federal-budget/a-christmas-omnibus-is-not-the-answer/,1448,publish
"The Truth Behind the Medicaid Cuts Myth","                                                              Brittany Madni                                                                                          [user]                                                                           ","The Federal Budget: Spending, Taxes, and Debt","Blog, Publication","Op-Ed, Report","Healthcare, Medicaid, One Big Beautiful Bill, Spending","2025-10-30 08:33:43",https://epicforamerica.org/federal-budget/the-truth-behind-the-medicaid-cuts-myth/,446,publish
"Cashing in on Obamacare Subsidies","                                                              Brittany Madni                                                                                          [user]                                                                           ","The Federal Budget: Spending, Taxes, and Debt",Blog,Op-Ed,"Biden COVID Credits, Healthcare, Obamacare, Program Integrity, Spending","2025-10-24 10:22:27",https://epicforamerica.org/federal-budget/cashing-in-on-obamacare-subsidies/,1106,publish
